sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,kt_status,status
1,M,81.88970284118471,Others,55.70234102415436,Central,Arts,81.67922636861053,Comm&Mgmt,Yes,56.28529532560578,Mkt&Fin,52.44816628353263,No KT,Placed
2,F,72.16578198064722,Others,54.81872794431999,Central,Science,61.880240574060196,Sci&Tech,No,70.72170234841657,Mkt&HR,94.35101152592773,No KT,Placed
3,M,58.571656977179664,Others,94.3752748312622,Central,Arts,84.31035271063112,Others,No,88.122226096955,Mkt&Fin,90.31295242148758,KT Completed,Not Placed
4,M,88.82770118241692,Others,54.972771990970365,Others,Arts,79.99702509276234,Comm&Mgmt,Yes,95.01561197872454,Mkt&HR,68.26502376903552,KT Completed,Placed
5,M,81.08387035323275,Central,56.316983567717855,Central,Science,47.17371986512339,Sci&Tech,No,83.24089953581355,Mkt&Fin,64.66893594040832,No KT,Placed
6,F,49.75701636069348,Central,85.56389574507782,Others,Commerce,74.35857118693508,Comm&Mgmt,No,55.260977761908485,Mkt&HR,54.194075512666004,No KT,Not Placed
7,M,94.65563106963054,Others,66.9843905470324,Others,Science,55.40460977858548,Comm&Mgmt,Yes,83.60098810902676,Mkt&HR,83.79959347869782,No KT,Placed
8,M,89.35223457539014,Central,86.60263341731087,Central,Arts,88.24574017801557,Others,Yes,81.7713960351486,Mkt&HR,47.90462797791785,No KT,Placed
9,M,96.98799479751544,Others,43.92196945386311,Central,Arts,65.55626250801637,Comm&Mgmt,No,90.28819591466657,Mkt&HR,80.81426523062697,No KT,Placed
10,F,83.5431705033016,Central,69.25427162040306,Others,Arts,99.68104991178923,Comm&Mgmt,No,91.26243333260905,Mkt&Fin,90.5474191671048,No KT,Placed
11,M,76.80491175614739,Others,42.016816010996955,Others,Science,45.550026276337825,Sci&Tech,No,93.41015378894895,Mkt&Fin,53.708294555021425,No KT,Not Placed
12,M,65.09458217743713,Others,43.75919220732127,Central,Arts,86.8208717644095,Sci&Tech,Yes,70.70657572895492,Mkt&Fin,91.98564417392538,No KT,Placed
13,M,95.9637090012408,Central,94.38624720066466,Central,Arts,80.42210401252939,Others,No,84.8932197676072,Mkt&Fin,41.99939196637051,KT In Progress,Not Placed
14,M,91.9638333700245,Central,48.354722267055706,Central,Science,86.04992983544233,Sci&Tech,No,63.412517946115535,Mkt&Fin,94.76724312319152,No KT,Placed
15,F,42.713120206371364,Others,71.94524093651303,Others,Commerce,58.45178772942738,Sci&Tech,No,99.96681399917522,Mkt&HR,47.10173367107788,No KT,Not Placed
16,M,41.58201846983512,Others,64.66573615604239,Others,Commerce,69.52326936294403,Others,No,58.766712068843,Mkt&HR,78.74555067628197,No KT,Not Placed
17,F,62.58780201268297,Central,60.84059957553056,Others,Arts,87.7905111834225,Comm&Mgmt,No,50.50572158304179,Mkt&HR,55.00494813483651,No KT,Placed
18,F,88.63319984690997,Central,93.99000074123634,Others,Science,53.9524798972513,Others,No,57.4404357259088,Mkt&HR,90.19314347017684,No KT,Placed
19,F,99.23656775889667,Others,41.30940380652937,Others,Arts,53.561991807319124,Sci&Tech,Yes,88.79361447720633,Mkt&HR,70.73802165492799,KT In Progress,Not Placed
20,M,49.02501346621169,Central,79.82738117053535,Central,Science,73.06305719769594,Others,Yes,72.33918382541057,Mkt&Fin,48.11447147479008,No KT,Placed
21,F,75.6478429211281,Others,97.80366605281303,Central,Science,71.41381477179135,Comm&Mgmt,No,72.37501239052142,Mkt&HR,74.25949427955871,KT In Progress,Not Placed
22,M,62.85345139786129,Others,73.61009100771051,Others,Commerce,56.93574822477597,Others,No,97.75114598058343,Mkt&HR,64.47295661181899,No KT,Placed
23,F,98.19486386887618,Others,96.20934772198551,Others,Commerce,57.88453903148937,Sci&Tech,Yes,95.98174540140371,Mkt&Fin,79.68686899678607,No KT,Placed
24,F,90.52713538814251,Others,43.13547275716142,Central,Science,56.67070979239393,Sci&Tech,Yes,65.55973689020045,Mkt&Fin,92.91419708580756,No KT,Placed
25,F,90.29972228266827,Central,65.12759914444968,Central,Arts,86.29072371990927,Others,Yes,60.4529064390433,Mkt&HR,64.5633478710051,No KT,Placed
26,F,68.12158958769822,Central,55.60946745772307,Central,Commerce,79.11405193374765,Comm&Mgmt,No,92.42411049668698,Mkt&HR,57.392840772031576,No KT,Placed
27,F,64.8891701402599,Central,83.84925789884379,Central,Arts,89.94503100461516,Others,No,95.30095355221816,Mkt&Fin,40.87090567165653,KT Completed,Not Placed
28,F,56.40442431584238,Central,98.8778254298348,Others,Commerce,98.52838169884132,Comm&Mgmt,No,77.07984613992434,Mkt&HR,74.4903422715925,KT Completed,Not Placed
29,F,43.382529799055625,Central,55.39180374665487,Central,Commerce,68.44985777631919,Comm&Mgmt,No,81.47118555585503,Mkt&HR,64.13648604588602,KT Completed,Not Placed
30,F,91.8833425753032,Central,79.25047608844446,Others,Arts,44.00163288432693,Others,Yes,62.84571423461467,Mkt&HR,62.47895314088972,KT Completed,Not Placed
31,M,88.77406054780465,Central,51.88585796558441,Central,Commerce,42.88553862472212,Comm&Mgmt,Yes,90.04013439892623,Mkt&Fin,50.97611927705275,KT Completed,Placed
32,M,99.98306039716783,Others,73.9198152742966,Central,Commerce,57.73990235629715,Sci&Tech,Yes,81.60612142245115,Mkt&HR,65.80332071147646,No KT,Placed
33,F,99.79821022443431,Central,67.83594920130017,Central,Arts,95.95267536114704,Others,Yes,75.17567556489983,Mkt&HR,99.0665172150021,No KT,Placed
34,F,73.32590233615764,Central,98.32031977789222,Others,Commerce,71.3927832982525,Comm&Mgmt,No,53.005427803919794,Mkt&Fin,57.86524922033466,No KT,Not Placed
35,F,86.13924491083063,Others,76.51163636178799,Others,Commerce,56.307190964807745,Sci&Tech,No,95.79674812555768,Mkt&Fin,75.98226480448602,No KT,Placed
36,M,96.68594379294568,Central,60.97038232520913,Central,Commerce,63.95000767066117,Others,Yes,80.7725710192203,Mkt&Fin,86.58921287894,KT Completed,Not Placed
37,F,90.97884344064468,Central,46.845747093276,Others,Arts,75.91570644428025,Sci&Tech,Yes,59.6345547346484,Mkt&HR,84.9494693905919,No KT,Placed
38,M,54.84088610459186,Others,49.07480972409607,Others,Science,79.17697948827053,Sci&Tech,Yes,80.31930584915264,Mkt&Fin,59.726457249555445,No KT,Placed
39,M,67.03264811860561,Central,53.519015797074104,Central,Arts,49.235170586974306,Sci&Tech,Yes,83.87316771199866,Mkt&HR,76.65160501101101,KT In Progress,Not Placed
40,M,47.7495649090897,Central,55.05799968041788,Central,Science,98.62190059271056,Comm&Mgmt,Yes,76.28851683416127,Mkt&Fin,92.27588111620943,No KT,Placed
41,M,97.24306163552333,Central,91.03696347046827,Others,Commerce,72.68633361896732,Others,No,85.90508689780113,Mkt&HR,40.92684566398468,No KT,Placed
42,M,76.3704780670528,Others,73.6733672969515,Others,Science,48.14129906753676,Others,No,79.07269739643121,Mkt&Fin,66.14406141059845,KT Completed,Not Placed
43,F,53.71856833020776,Central,71.40345468246198,Others,Arts,93.61811520076802,Comm&Mgmt,Yes,97.3884791016074,Mkt&HR,53.45640509451432,KT In Progress,Not Placed
44,F,80.30204106435141,Central,46.88613231215305,Central,Arts,44.47830586476573,Others,Yes,52.68485392996534,Mkt&HR,63.31793742393034,No KT,Placed
45,F,77.08769442747375,Others,91.6083816009661,Central,Commerce,94.46412599065076,Sci&Tech,Yes,55.31228542347802,Mkt&Fin,64.9593764785145,KT Completed,Placed
46,F,61.48976308197043,Central,83.36885819250902,Others,Science,99.79393937733894,Others,No,58.683581847716994,Mkt&Fin,84.80025788719823,KT In Progress,Not Placed
47,F,46.81345553197774,Others,44.0601017140001,Central,Commerce,82.02590794939023,Comm&Mgmt,No,84.5085535302166,Mkt&HR,45.62931234372659,KT In Progress,Not Placed
48,M,80.29439173556798,Others,82.47010583378612,Central,Commerce,86.22683326443939,Sci&Tech,No,82.27979363749043,Mkt&Fin,70.75503418795063,KT In Progress,Not Placed
49,F,71.2184620542276,Central,72.61229304055877,Others,Arts,60.23817018804918,Comm&Mgmt,Yes,94.6029430104847,Mkt&HR,73.85168750792472,No KT,Placed
50,F,86.33910350413836,Others,44.9035207448067,Others,Science,96.49461116403603,Sci&Tech,No,86.64387264419491,Mkt&Fin,69.64945621310827,No KT,Placed
51,M,71.2098100667196,Others,67.49803849171938,Central,Science,71.78283796650206,Sci&Tech,Yes,75.41777437822961,Mkt&Fin,83.91239518376321,No KT,Placed
52,F,91.1308900191124,Central,69.08177722780282,Central,Science,83.94330679585329,Others,No,99.5915896231815,Mkt&HR,63.02747535441084,No KT,Placed
53,M,73.11441032646914,Others,49.94647240979654,Others,Science,95.44646295467678,Sci&Tech,No,63.30539780846496,Mkt&Fin,96.69802381840456,No KT,Placed
54,F,73.65627829212318,Others,96.74188882001694,Central,Commerce,98.5107985585305,Comm&Mgmt,No,91.6595829892727,Mkt&Fin,68.90820655233648,No KT,Placed
55,M,92.5992161595007,Central,90.99852228883972,Central,Commerce,89.99226139580045,Others,Yes,71.33951860969597,Mkt&HR,74.27283457688785,No KT,Placed
56,F,64.20897197274383,Central,80.1413402397465,Others,Arts,58.1810504189218,Comm&Mgmt,Yes,82.43675694378672,Mkt&HR,89.53184940080496,No KT,Placed
57,F,48.04091370703844,Central,67.73773366003644,Others,Commerce,97.99285099312493,Sci&Tech,No,86.3634235226217,Mkt&Fin,56.514166355867346,No KT,Placed
